MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
436,TRIUNFO POTIGUAR,RN,1/1/1997,
437,BUJARU,PA,1/1/1980,
438,VENHA-VER,RN,1/1/1997,
439,CACHOEIRA DO ARARI,PA,1/1/1980,
440,ALCANTIL,PB,1/1/1997,
441,CAMETÁ,PA,1/1/1980,
442,ALGODÃO DE JANDAÍRA,PB,1/1/1997,
443,CAPANEMA,PA,1/1/1980,
444,AMPARO,PB,1/1/1997,
445,CAPITÃO POÇO,PA,1/1/1980,
446,APARECIDA,PB,1/1/1997,
447,CASTANHAL,PA,1/1/1980,
448,AREIA DE BARAÚNAS,PB,1/1/1997,
449,CHAVES,PA,1/1/1980,
450,ASSUNÇÃO,PB,1/1/1997,
451,COLARES,PA,1/1/1980,
452,BARAÚNA,PB,1/1/1997,
453,CONCEIÇÃO DO ARAGUAIA,PA,1/1/1980,
454,BARRA DE SANTANA,PB,1/1/1997,
455,CURRALINHO,PA,1/1/1980,
456,BERNARDINO BATISTA,PB,1/1/1997,
457,CURUÇÁ,PA,1/1/1980,
458,BOA VISTA,PB,1/1/1997,
459,FARO,PA,1/1/1980,
460,CACIMBAS,PB,1/1/1997,
461,GURUPÁ,PA,1/1/1980,
462,CAJAZEIRINHAS,PB,1/1/1997,
463,IGARAPÉ-AÇU,PA,1/1/1980,
464,CAPIM,PB,1/1/1997,
465,IGARAPÉ-MIRI,PA,1/1/1980,
466,CARAÚBAS,PB,1/1/1997,
467,INHANGAPI,PA,1/1/1980,
468,CASSERENGUE,PB,1/1/1997,
469,IRITUIA,PA,1/1/1980,
470,CATURITÉ,PB,1/1/1997,
471,ITAITUBA,PA,1/1/1980,
472,COXIXOLA,PB,1/1/1997,
473,ITUPIRANGA,PA,1/1/1980,
474,CUITÉ DE MAMANGUAPE,PB,1/1/1997,
475,JACUNDÁ,PA,1/1/1980,
476,CURRAL DE CIMA,PB,1/1/1997,
477,JURUTI,PA,1/1/1980,
478,DAMIÃO,PB,1/1/1997,
479,LIMOEIRO DO AJURU,PA,1/1/1980,
480,GADO BRAVO,PB,1/1/1997,
481,MAGALHÃES BARATA,PA,1/1/1980,
482,LOGRADOURO,PB,1/1/1997,
483,MARABÁ,PA,1/1/1980,
484,MARCAÇÃO,PB,1/1/1997,
485,MARACANÃ,PA,1/1/1980,
486,MARIZÓPOLIS,PB,1/1/1997,
487,MARAPANIM,PA,1/1/1980,
488,MATINHAS,PB,1/1/1997,
489,MELGAÇO,PA,1/1/1980,
490,MATO GROSSO,PB,1/1/1997,
491,MOCAJUBA,PA,1/1/1980,
492,MATURÉIA,PB,1/1/1997,
493,MOJU,PA,1/1/1980,
494,PARARI,PB,1/1/1997,
495,MONTE ALEGRE,PA,1/1/1980,
496,POÇO DANTAS,PB,1/1/1997,
497,MUANÁ,PA,1/1/1980,
498,POÇO DE JOSÉ DE MOURA,PB,1/1/1997,
499,NOVA TIMBOTEUA,PA,1/1/1980,
500,PEDRO RÉGIS,PB,1/1/1997,
501,ÓBIDOS,PA,1/1/1980,
502,RIACHÃO,PB,1/1/1997,
503,OEIRAS DO PARÁ,PA,1/1/1980,
504,RIACHÃO DO BACAMARTE,PB,1/1/1997,
505,ORIXIMINÁ,PA,1/1/1980,
506,RIACHÃO DO POÇO,PB,1/1/1997,
507,OURÉM,PA,1/1/1980,
508,RIACHO DE SANTO ANTÔNIO,PB,1/1/1997,
509,PARAGOMINAS,PA,1/1/1980,
510,SANTA CECÍLIA,PB,1/1/1997,
511,PEIXE-BOI,PA,1/1/1980,
512,SANTA INÊS,PB,1/1/1997,
513,PONTA DE PEDRAS,PA,1/1/1980,
514,JOCA CLAUDINO,PB,1/1/1997,
515,PORTEL,PA,1/1/1980,
516,SANTO ANDRÉ,PB,1/1/1997,
517,PORTO DE MOZ,PA,1/1/1980,
518,SÃO BENTINHO,PB,1/1/1997,
519,PRAINHA,PA,1/1/1980,
520,SÃO DOMINGOS DO CARIRI,PB,1/1/1997,
521,PRIMAVERA,PA,1/1/1980,
522,SÃO DOMINGOS,PB,1/1/1997,
523,SALINÓPOLIS,PA,1/1/1980,
524,SÃO FRANCISCO,PB,1/1/1997,
525,SALVATERRA,PA,1/1/1980,
526,SÃO JOSÉ DOS RAMOS,PB,1/1/1997,
527,SANTA CRUZ DO ARARI,PA,1/1/1980,
528,SÃO JOSÉ DE PRINCESA,PB,1/1/1997,
529,SANTA ISABEL DO PARÁ,PA,1/1/1980,
530,SÃO JOSÉ DO BREJO DO CRUZ,PB,1/1/1997,
531,SANTA MARIA DO PARÁ,PA,1/1/1980,
532,SERTÃOZINHO,PB,1/1/1997,
